文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
献县2019年度国有建设用地供应计划,2019年3月27日 13:41,河北省 > 沧州市 > 献县,献县,沧州市,2019,130公顷以内,,,10公顷以内,80公顷以内,20公顷以内,,,,,10公顷以内,,,,,,,,e16d9a7ef76de96c2a861dce44129d3b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f3c26204-658b-45ab-89f1-66f49c49609b&sitePath=,2020/7/6
怀来县2019年度国有建设用地供应计划,2019年3月27日 11:21,河北省 > 张家口市 > 怀来县,怀来县,张家口市,2019,293.1772公顷,,,41.1328公顷,36.347公顷,125.4275公顷,,,,,,,,,,,,,0f444e14ba53a7ec0e2a4585b74a16c5,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c29216ee-57d2-4197-aea2-3c0c6e35f531&sitePath=,2020/7/6
赞皇县2019年度国有建设用地供应计划,2019年3月27日 10:35,河北省 > 石家庄市 > 赞皇县,赞皇县,石家庄市,2019,53.9公顷,,,,26.6公顷,12公顷,,,,,15.3公顷,,,,,,,,3871e9fa6b8aa2269e0e20a81c88402a,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=4dfa0e98-3a81-4b7a-97ff-d6eac4b11377&sitePath=,2020/7/6
行唐县2019年度国有建设用地供应计划,2019年3月27日 9:41,河北省 > 石家庄市 > 行唐县,行唐县,石家庄市,2019,100.02公顷,87.14公顷以内,12.8753公顷,,,17.90公顷,,,,,30.6333公顷,,,,51.482公顷,,,,ec289381ab05c6f277585b59b727f7b8,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=a792871b-e473-4602-ba37-c7839d44fa07&sitePath=,2020/7/6
平山县2019年度国有建设用地供应计划,2019年3月27日 9:24,河北省 > 石家庄市 > 平山县,平山县,石家庄市,2019,260.2735公顷,0公顷,260.2735公顷,81.6003公顷,54.4112公顷,34.0144公顷,0.7323公顷,23.81公顷,,,27.3547公顷,61.2929公顷,,,,,1.6公顷,,9bce074bab1d17ed355fd082492e3821,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=f494f520-571e-4868-a99a-668f257d7f48&sitePath=,2020/7/6
文安县2019年度国有建设用地供应计划,2019年3月26日 15:08,河北省 > 廊坊市 > 文安县,文安县,廊坊市,2019,72.1057公顷,,,10.0866公顷,24.5652公顷,25.3866公顷,,,,,,0926公顷,,,,,,,2f74bffe718bb44c0f8d9a561e14f27d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=557673c1-26a1-46de-a70b-e6bef53f8810&sitePath=,2020/7/6
香河县2019年度国有建设用地供应计划,2019年3月26日 11:41,河北省 > 廊坊市 > 香河县,香河县,廊坊市,2019,170.0330公顷,,,20.2901公顷,64.3993公顷,79.5585公顷,,,,,,5.7851公顷,,,,,,,62235d79df7cff5d9a490020acd42382,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=57cf2a3b-1e54-413b-9391-7101c197c4dd&sitePath=,2020/7/6
柏乡县2019年度国有建设用地供应计划,2019年3月26日 11:41,河北省 > 邢台市 > 柏乡县,柏乡县,邢台市,2019,61.0429公顷,51.563公顷以内,10.0935公顷,0.9006公顷,,18.5744公顷,,18.5744公顷,,,4.1092公顷,4.3542公顷,,,,,,,0a37919770570021000212ddc6f0b77c,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1ddff25e-e058-46f3-be69-a7cdef5e464f&sitePath=,2020/7/6
沧州市本级2019年度国有建设用地供应计划,2019年3月26日 11:06,河北省 > 沧州市 > 沧州市本级,沧州市本级,沧州市,2019,1353.5518公顷,,537.0181公顷,116.5656公顷,681.6728公顷,237.3964公顷,,,,33.5394公顷,159.4994公顷,158.4176公顷,,,,,,,ea99ecb7ece4cd90a2f5dbac92058c24,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=3fa4c4f7-b802-4ee0-9d78-7fd6d838f06b&sitePath=,2020/7/6
平泉县2019年度国有建设用地供应计划,2019年3月26日 11:02,河北省 > 承德市 > 平泉县,平泉县,承德市,2019,80.7849公顷,,,0.7174公顷,,13.5807公顷,,,13.5807公顷,,,18.0935公顷,,,,,,,d07ce54a4f96efb894d410dec5fac51d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6d492920-d6ec-42b0-adca-889964d2f95f&sitePath=,2020/7/6
大城县2019年度国有建设用地供应计划,2019年3月26日 10:53,河北省 > 廊坊市 > 大城县,大城县,廊坊市,2019,241.6960公顷,,,8.3537公顷,204.6758公顷,16.2527公顷,,,,,1.8840公顷,10.5298公顷,,,,,,,ed7fb7605b8268c875d9d84b93f80386,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=ec5d30ae-4352-482c-b550-b0e50b8d5fca&sitePath=,2020/7/6
沧县2019年度国有建设用地供应计划,2019年3月26日 10:23,河北省 > 沧州市 > 沧县,沧县,沧州市,2019,254.2001公顷,,,10公顷,66.6667公顷,117.0667公顷,,,,,20公顷,1.4公顷,,,,,39.0667公顷,,53b244c88b11c938bd270c017bd049b0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=89349de5-2e13-4ad9-8b05-b6e0a9af9e37&sitePath=,2020/7/6
临漳县2019年度国有建设用地供应计划,2019年3月26日 9:58,河北省 > 邯郸市 > 临漳县,临漳县,邯郸市,2019,280.4777公顷,,,46.7184公顷,98.1134公顷,64.5987公顷,,,,,0.9333公顷,68.0353公顷,,,,,64.5987公顷,,e3f3ab1b5421ac894ea243a321d43bec,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=dd57e089-fbbd-4945-a4cf-998df152995b&sitePath=,2020/7/6
蠡县2019年度国有建设用地供应计划,2019年3月26日 9:31,河北省 > 保定市 > 蠡县,蠡县,保定市,2019,140.3540公顷,,,10.0765公顷,32.5034公顷,31.7741公顷,,,,,,66.0000公顷,,,,,,,e01139b8b00599d16912b43cb848d4e5,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6aac9661-9524-4daa-81a5-e9ccdda9273f&sitePath=,2020/7/6
高碑店市2019年度国有建设用地供应计划,2019年3月26日 8:45,河北省 > 保定市 > 高碑店市,高碑店市,保定市,2019,151.9507公顷,137.6047公顷,14.3460公顷,22.5199公顷,40.8611公顷,71.1413公顷,,,,,4.0242公顷,17.4284公顷,,,,,,,6c2975b137904ac8ed5ac96a13aa885d,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=21099cd8-3d84-4804-b971-6e80f79c2d8e&sitePath=,2020/7/6
井陉县2019年度国有建设用地供应计划,2019年3月25日 18:58,河北省 > 石家庄市 > 井陉县,井陉县,石家庄市,2019,41.5456公顷以内,,,8.2188公顷,5.594公顷,25.2054公顷,,,,,,,,,,,,,efbd3d12f26b60b58a13e41eac6eecd1,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1d26730d-5c55-4655-a49b-02257bdfa943&sitePath=,2020/7/6
平乡县2019年度国有建设用地供应计划,2019年3月25日 17:26,河北省 > 邢台市 > 平乡县,平乡县,邢台市,2019,1335676.65平方,,,43791平方,607069.01平方,302146.64平方,,,,,339857平方,,,,,,,,f267213cb939b7862bff752999c63941,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=15f40dbd-85d8-4a2c-9537-9471dd44bd3f&sitePath=,2020/7/6
邢台县2019年度国有建设用地供应计划,2019年3月25日 17:18,河北省 > 邢台市 > 邢台县,邢台县,邢台市,2019,155.6602公顷以内,,,1.9857公顷,57.9075公顷,60.3092公顷,,,,,8.1606公顷,,,10公顷,,,,,89a9147e542d24e0b3ec50d3b1a30644,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=41c72aa7-c9cf-403c-941d-b6148c556ec9&sitePath=,2020/7/6
高阳县2019年度国有建设用地供应计划,2019年3月25日 16:37,河北省 > 保定市 > 高阳县,高阳县,保定市,2019,144.4072公顷,,,27.2166公顷,82.6235公顷,7.2356公顷,,,,,20.0000公顷,7.3315公顷,,,,,,,77887b7a0a60b4dd540ad9a7692e7692,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=22eb9d8a-73c1-4b97-be95-bf9007d9789c&sitePath=,2020/7/6
南皮县2019年度国有建设用地供应计划,2019年3月25日 16:12,河北省 > 沧州市 > 南皮县,南皮县,沧州市,2019,125.2公顷,120公顷以内,15.2公顷,4.25公顷,,23.9公顷,,,,,24.16公顷,4.19公顷,,,,,,,b060852f15553b7c1bc85488cda50e0b,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=ebad530b-164e-4477-a895-3c69e2decc3f&sitePath=,2020/7/6
涉县2019年度国有建设用地供应计划,2019年3月25日 15:45,河北省 > 邯郸市 > 涉县,涉县,邯郸市,2019,263.62公顷,80公顷,183.62公顷,32.72公顷,,32.31公顷,3公顷,,29.31公顷,,,31.98公顷,,,,,,,09a359f2916482e415efd9b76b4904d8,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c44fcb35-4e60-453d-ba43-fe2a0f44d442&sitePath=,2020/7/6
威县2019年度国有建设用地供应计划,2019年3月25日 14:51,河北省 > 邢台市 > 威县,威县,邢台市,2019,240.8494公顷,217.6314公顷以内,23.2180公顷,2.5472公顷,135.6901公顷,48.2863公顷,,,,,36.9177公顷,17.4081公顷,,,,,,,1bd9949cb83994e7b5452669f8b5f028,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=26c18344-24a5-4874-99d4-3723ee572a94&sitePath=,2020/7/6
南宫市2019年度国有建设用地供应计划,2019年3月25日 14:35,河北省 > 邢台市 > 南宫市,南宫市,邢台市,2019,115.1888公顷,101.8555公顷以内,13.3333公顷,11.0034公顷,,28.9873公顷,,,,,,18.9712公顷,,,,,,,cbcbe609202fe3c557be6bc99ac3b425,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=fc23a83b-4b2e-427e-b9b3-831a64afa9ac&sitePath=,2020/7/6
巨鹿县2019年度国有建设用地供应计划,2019年3月25日 14:27,河北省 > 邢台市 > 巨鹿县,巨鹿县,邢台市,2019,94.7297公顷,,,4.3211公顷,69.5603公顷,17.3426公顷,,,,,,3.5057公顷,,,,,,,310ee7c173e8cd7c2ca480d374c7cafa,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e90c2564-b5a7-4528-9a08-976a0b75a5f7&sitePath=,2020/7/6
博野县2019年度国有建设用地供应计划,2019年3月25日 14:20,河北省 > 保定市 > 博野县,博野县,保定市,2019,66.2930公顷以内,,,0.3000公顷,25.6855公顷,35.8066公顷,,,,,,4.5009公顷,,,,,,,6c30ad4f725aad8c9c0a3540eb9cb677,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d17d1620-94af-4d1d-af04-b4f2c93840bd&sitePath=,2020/7/6
任县2019年度国有建设用地供应计划,2019年3月25日 11:10,河北省 > 邢台市 > 任县,任县,邢台市,2019,104.88公顷,54.86公顷以内,50.02公顷,16.07公顷,,28.48公顷,,,,,9.93公顷,3.65公顷,,,,,,,d03d8c06fbf3a0ed86ef85c8739f8244,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c62ca8e3-06e0-4134-a536-cafe0883f078&sitePath=,2020/7/6
无极县2019年度国有建设用地供应计划,2019年3月25日 11:02,河北省 > 石家庄市 > 无极县,无极县,石家庄市,2019,101.1714公顷以内,,,0.126公顷,76.6504公顷,19.6722公顷,,,,,,4.2617公顷,,,,,0.4611公顷,,aebcf1cb6f9f5dc924d497f159ecc26f,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=8f3b457b-63ca-46ea-bc60-5aca0871e63d&sitePath=,2020/7/6
