文件标题,发布时间,行政区,行政区代码,城市,供应计划年度,供应总量_总量,供应总量_增量,供应总量_存量,商服用地,工矿仓储用地,住宅用地_总量,住宅用地_保障性住房用地,住宅用地_中小套型商品房用地,住宅用地_普通商品房用地,住宅用地_棚户区改造住房用地,交通运输用地,公共管理与公共服务用地,水域及水利设施用地,教育用地,工业用地,公益事业用地,特殊用地,其他用地,md5,url,crawling_time
鸡泽县2019年度国有建设用地供应计划,2019年4月4日 10:24,河北省 > 邯郸市 > 鸡泽县,鸡泽县,邯郸市,2019,105公顷,90公顷以内,15公顷,10公顷,73公顷,25公顷,,,,,,,,,,,,1公顷,dd4083b0d1e2d2fcfae983f7e879fbc4,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=8babf497-2106-48d9-ac2a-e9fd51b9d4e6&sitePath=,2020/7/6
赵县2019年度国有建设用地供应计划,2019年4月4日 10:10,河北省 > 石家庄市 > 赵县,赵县,石家庄市,2019,29.1328公顷,,,1.076公顷,9.7809公顷,17.5578公顷,,,,,,0.7181公顷,,,,,,,353ed0a46bb3018670d3c475875e1f80,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=1717c15a-a379-4c90-9501-571eb668dd67&sitePath=,2020/7/6
玉田县2019年度国有建设用地供应计划,2019年4月4日 10:03,河北省 > 唐山市 > 玉田县,玉田县,唐山市,2019,222.1454公顷,,,8.7423公顷,179.9726公顷,19.8696公顷,,,,,,13.5606公顷,,,,,,,28c1a9e79cbedce3883ad99ae16f5ddc,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=d629bdac-5bb5-4295-a33a-ba3717d9d7eb&sitePath=,2020/7/6
馆陶县2019年度国有建设用地供应计划,2019年4月3日 10:02,河北省 > 邯郸市 > 馆陶县,馆陶县,邯郸市,2019,,,,,,,,,,,,,,,,,,,192b00f2766c76e9482cb1db11770b70,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=50db2040-dd0f-4090-8b26-1fdc37a8aaab&sitePath=,2020/7/6
曲周县2019年度国有建设用地供应计划,2019年4月2日 15:25,河北省 > 邯郸市 > 曲周县,曲周县,邯郸市,2019,155.05公顷,,,7.08公顷,,30.00公顷,,,,,23.43公顷,15.16公顷,,,,,3.75公顷,,c17eebbdae641d8ea8ffe789acbe7894,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=990fddf6-de73-42d1-83b7-1b47791e9042&sitePath=,2020/7/6
邱县2019年度国有建设用地供应计划,2019年4月2日 11:50,河北省 > 邯郸市 > 邱县,邱县,邯郸市,2019,90.0805公顷以内,,,,46.1939公顷,12.54公顷,,,,,,,,19.9公顷,,,,,c2ecc732e431481a094b701fecc183a6,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=e92a836b-ed9b-4d24-b662-95694f535ccd&sitePath=,2020/7/6
怀安县2019年度国有建设用地供应计划,2019年4月2日 11:03,河北省 > 张家口市 > 怀安县,怀安县,张家口市,2019,141.322公顷以内,110.3205公顷,31.0015公顷,24.9848公顷,49.986公顷,46.372公顷,,,,,13.7659公顷,6.2133公顷,,,,,,,3c5bef29147f40f28f85485fac0d1a1e,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=6f2ceac0-3099-4d5e-92d4-7408527dea0c&sitePath=,2020/7/6
围场满族蒙古族自治县2019年度国有建设用地供应计划,2019年4月2日 10:57,河北省 > 承德市 > 围场满族蒙古族自治县,围场满族蒙古族自治县,承德市,2019,124公顷以内,,,36.2483公顷,43.5532公顷,31.3329公顷,,,,,3.8341公顷,8.0894公顷,,,,,,,783a21268b66afe5267e5d895746b5ff,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=c3615986-3b89-4fe3-9f8d-1de123c14e65&sitePath=,2020/7/6
唐山市本级2019年度国有建设用地供应计划,2019年4月2日 10:35,河北省 > 唐山市 > 唐山市本级,唐山市本级,唐山市,2019,1779.12公顷,1555.48公顷,223.64公顷,68.15公顷,1151.29公顷,384.18公顷,,,,,121.47公顷,37.31公顷,,,,,16.72公顷,,5aa2191ac2fc432d2031c4ce53a538a0,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=bf2427cd-9ac7-4baa-a859-4cbeafaa4ac9&sitePath=,2020/7/6
安平县2019年度国有建设用地供应计划,2019年4月2日 10:15,河北省 > 衡水市 > 安平县,安平县,衡水市,2019,123.9779公顷以内,,,3.9544公顷,34.7971公顷,11.8311公顷,1.7747公顷,,,2.9578公顷,36.7333公顷,36.6620公顷,,,,,,,81f0e9d676048bd8a36bbc0a5f78c1d1,http://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=6506735a-142d-4bde-9674-121656045ed1&recorderguid=28202ca2-db3d-427c-84c2-80198ea7c8c4&sitePath=,2020/7/6
